epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,42863.4,0.32818,0.24305,0.91122,0.95546,0.96877,0.96811,0.81735,0.61101,0.33887,1.02032,7.63797e-05,7.63797e-05,7.63797e-05
60,43409.3,0.33372,0.24779,0.91254,0.96265,0.96357,0.96777,0.81884,0.61232,0.32232,1.02584,7.33799e-05,7.33799e-05,7.33799e-05
61,43965.7,0.3324,0.24556,0.9133,0.95883,0.95688,0.9662,0.81565,0.61091,0.34555,1.02494,7.04073e-05,7.04073e-05,7.04073e-05
62,45141.7,0.32976,0.24167,0.91284,0.95068,0.96708,0.96332,0.81283,0.61348,0.32743,1.02608,6.74649e-05,6.74649e-05,6.74649e-05
63,45740.4,0.3261,0.2415,0.90932,0.96388,0.96336,0.96598,0.81701,0.61316,0.32158,1.02444,6.45557e-05,6.45557e-05,6.45557e-05
64,46496.1,0.32759,0.24273,0.90965,0.95603,0.96478,0.96377,0.81426,0.61089,0.32357,1.02181,6.16824e-05,6.16824e-05,6.16824e-05
65,47131.7,0.32539,0.23906,0.90866,0.95784,0.96382,0.96244,0.81247,0.61042,0.31817,1.02394,5.88479e-05,5.88479e-05,5.88479e-05
66,48467.6,0.31949,0.23325,0.91026,0.96536,0.96122,0.96709,0.81687,0.61069,0.32127,1.02213,5.60549e-05,5.60549e-05,5.60549e-05
67,48765.1,0.32938,0.24207,0.91332,0.9681,0.95582,0.96777,0.81745,0.6095,0.34359,1.02057,5.33064e-05,5.33064e-05,5.33064e-05
68,49187.8,0.32347,0.23717,0.90996,0.97107,0.95817,0.96448,0.81198,0.61418,0.32707,1.02152,5.06049e-05,5.06049e-05,5.06049e-05
69,49618.3,0.32327,0.23894,0.9081,0.96699,0.96478,0.96647,0.81134,0.61363,0.32613,1.02285,4.79531e-05,4.79531e-05,4.79531e-05
70,51300.3,0.32502,0.23871,0.91135,0.96777,0.96877,0.96752,0.81298,0.61789,0.31166,1.02439,4.53537e-05,4.53537e-05,4.53537e-05
71,51756.6,0.31809,0.2348,0.90819,0.96582,0.96827,0.96856,0.81454,0.619,0.31,1.02405,4.28093e-05,4.28093e-05,4.28093e-05
72,52565.4,0.3215,0.2372,0.90894,0.96606,0.96771,0.96833,0.81386,0.61338,0.3169,1.02359,4.03222e-05,4.03222e-05,4.03222e-05
73,52999.3,0.3195,0.23669,0.90905,0.95807,0.96654,0.96673,0.81452,0.61779,0.32881,1.02569,3.7895e-05,3.7895e-05,3.7895e-05
74,53914.2,0.31633,0.23152,0.90484,0.96255,0.95825,0.9666,0.81323,0.61801,0.33962,1.02469,3.55301e-05,3.55301e-05,3.55301e-05
75,54419.6,0.31861,0.23379,0.90676,0.97001,0.96076,0.968,0.81329,0.6166,0.33178,1.02412,3.32298e-05,3.32298e-05,3.32298e-05
76,55032.8,0.31517,0.2315,0.9063,0.9704,0.96105,0.96585,0.81214,0.61568,0.34277,1.02388,3.09964e-05,3.09964e-05,3.09964e-05
77,55824.2,0.32024,0.23534,0.91152,0.96706,0.9548,0.96505,0.81255,0.61344,0.35055,1.02308,2.88321e-05,2.88321e-05,2.88321e-05
78,57214.8,0.31071,0.22776,0.90672,0.96851,0.95528,0.96708,0.8131,0.6137,0.33921,1.02357,2.6739e-05,2.6739e-05,2.6739e-05
79,57647.7,0.3165,0.23114,0.90694,0.96282,0.9619,0.96662,0.81456,0.61202,0.32556,1.02251,2.47192e-05,2.47192e-05,2.47192e-05
80,59112.3,0.31497,0.23393,0.90869,0.961,0.96207,0.96745,0.81454,0.61459,0.32072,1.02296,2.27747e-05,2.27747e-05,2.27747e-05
81,59420,0.31483,0.2295,0.90639,0.96711,0.95649,0.96645,0.81224,0.61671,0.33163,1.02279,2.09073e-05,2.09073e-05,2.09073e-05
82,61469.5,0.32053,0.23601,0.90999,0.95594,0.96917,0.96854,0.81571,0.61782,0.32951,1.0228,1.9119e-05,1.9119e-05,1.9119e-05
